name,smiles,aryl,core,linker,warhead,MW,logP,QED,nRot,sim_parent
gen_OCF3-p_thieno_pyrr_cyclo,O=C(C1CC1)N1CCC2CN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,pyrrolidine,cyclopropanecarbonyl,433.5,3.09,0.747,3,0.303
gen_OCF3-p_thieno_pipe_acryl,C=CC(=O)N1CCC2CCN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,piperidine,acrylamide,433.5,3.26,0.698,3,0.386
gen_OCF3-p_thieno_pipe_cyclo,O=C(C1=CCC1)N1CCC2CCN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,piperidine,cyclobutenylamide,459.5,3.79,0.701,3,0.368
gen_OCF3-p_thieno_pipe_fluor,C=C(F)C(=O)N1CCC2CCN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,piperidine,fluoroacrylamide,451.4,3.56,0.53,3,0.308
gen_OCF3-p_thieno_pipe_propi,C#CC(=O)N1CCC2CCN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,piperidine,propiolamide,431.4,2.71,0.687,2,0.293
gen_OCF3-p_thieno_pipe_acety,CC(=O)N1CCC2CCN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,piperidine,acetyl,421.4,3.09,0.748,2,0.318
gen_OCF3-p_thieno_pipe_cyclo,O=C(C1CC1)N1CCC2CCN=c3sccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,OCF3-phenyl,thienopyrimidine,piperidine,cyclopropanecarbonyl,447.5,3.48,0.724,3,0.3
gen_CF3-ph_9Me-pu_azet_acryl,C=CC(=O)N1CC2CN=c3c(ncn3C)=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,9Me-purine,azetidine,acrylamide,387.4,1.27,0.729,2,0.354
gen_CF3-ph_9Me-pu_azet_cyclo,Cn1cnc2c1=NCC1CN(C(=O)C3=CCC3)C1=NC=2c1ccc(C(F)(F)F)cc1,CF3-phenyl,9Me-purine,azetidine,cyclobutenylamide,413.4,1.81,0.754,2,0.373
gen_CF3-ph_9Me-pu_azet_fluor,C=C(F)C(=O)N1CC2CN=c3c(ncn3C)=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,9Me-purine,azetidine,fluoroacrylamide,405.4,1.57,0.563,2,0.276
gen_CF3-ph_9Me-pu_azet_acety,CC(=O)N1CC2CN=c3c(ncn3C)=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,9Me-purine,azetidine,acetyl,375.4,1.11,0.75,1,0.282
gen_CF3-ph_9Me-pu_azet_cyclo,Cn1cnc2c1=NCC1CN(C(=O)C3CC3)C1=NC=2c1ccc(C(F)(F)F)cc1,CF3-phenyl,9Me-purine,azetidine,cyclopropanecarbonyl,401.4,1.5,0.766,2,0.276
gen_CF3-ph_9Me-pu_pyrr_acryl,C=CC(=O)N1CCC2CN=c3c(ncn3C)=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,9Me-purine,pyrrolidine,acrylamide,401.4,1.66,0.719,2,0.36
gen_CF3-ph_9Me-pu_pyrr_cyclo,Cn1cnc2c1=NCC1CCN(C(=O)C3=CCC3)C1=NC=2c1ccc(C(F)(F)F)cc1,CF3-phenyl,9Me-purine,pyrrolidine,cyclobutenylamide,427.4,2.2,0.738,2,0.349
gen_CF3-ph_9Me-pu_pyrr_fluor,C=C(F)C(=O)N1CCC2CN=c3c(ncn3C)=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,9Me-purine,pyrrolidine,fluoroacrylamide,419.4,1.96,0.552,2,0.286
gen_CF3-ph_9Me-pu_pyrr_propi,C#CC(=O)N1CCC2CN=c3c(ncn3C)=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,9Me-purine,pyrrolidine,propiolamide,399.4,1.11,0.675,1,0.272
gen_CF3-ph_9Me-pu_pyrr_acety,CC(=O)N1CCC2CN=c3c(ncn3C)=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,9Me-purine,pyrrolidine,acetyl,389.4,1.5,0.742,1,0.284
gen_CF3-ph_9Me-pu_pyrr_cyclo,Cn1cnc2c1=NCC1CCN(C(=O)C3CC3)C1=NC=2c1ccc(C(F)(F)F)cc1,CF3-phenyl,9Me-purine,pyrrolidine,cyclopropanecarbonyl,415.4,1.89,0.752,2,0.278
gen_CF3-ph_9Me-pu_pipe_acryl,C=CC(=O)N1CCC2CCN=c3c(ncn3C)=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,9Me-purine,piperidine,acrylamide,415.4,2.05,0.705,2,0.356
