rank,gene,axis,log2FC,log2FC_GSE121212,log2FC_AD,psoriasis_specificity,ot_overall,ot_genetic,gwas_hit,gwas_min_pexp,gwas_n_assoc,ot_known_drug,priority_score
539,PDZK1,silenced_down,-1.480122913043264,-1.749894177469543,-1.0891909814401413,-0.3909319316031228,0.02126753618323008,0.0,0,0,0,0.0,0.030836894016695045
540,TLE2,silenced_down,-1.3006348315810483,-1.1709905641650598,-0.3965356458362628,-0.9040991857447858,0.007642699647838738,0.0,0,0,0,0.0,0.030743711589944035
541,LAMB4,silenced_down,-1.39493841780885,-1.785474995947519,-0.8653184127553155,-0.5296200050535345,0.019896314343065036,0.0,0,0,0,0.0,0.03067916958474232
542,DCN,silenced_down,-1.3795205719747765,-1.846998386202376,-1.1720511040973172,-0.2074694678774591,0.03743884992384327,0.0,0,0,0,0.0,0.030648450615572156
543,TRIM22,inflammatory_up,1.527272251233073,2.15833599317519,1.2617262461511682,0.2655460050819047,0.023761587058010025,0.0,0,0,0,0.0,0.0306161027186787
544,MDFI,inflammatory_up,1.321599571219091,2.5478777937417023,2.2346194260331678,-0.9130198548140762,0.005116557139578175,0.0,0,0,0,0.0,0.030514954733708313
545,UPK1A,silenced_down,-1.405998282148656,-1.0668485971005583,-0.6347307494308696,-0.7712675327177863,0.006108977607267272,0.0,0,0,0,0.0,0.030431523426540416
546,EPHX3,inflammatory_up,1.2875204300355998,0.9923091613401712,0.6379578463533191,0.6495625836822807,0.020579622766620592,0.0,0,0,0,0.0,0.030316066148518242
547,PGM2,inflammatory_up,1.352445961410917,1.141523906258219,0.6788043250511047,0.6736416363598123,0.014644139906206265,0.0,0,0,0,0.0,0.030302165143134985
548,RNF222,inflammatory_up,1.4726724051658573,1.713735799825007,0.987338700091832,0.4853337050740254,0.015606893924491412,0.0,0,0,0,0.0,0.030283877702709162
549,TNNT2,silenced_down,-1.4168633571664628,-1.5441451174621572,-0.6505049588615739,-0.7663583983048889,0.0051741179655858255,0.0,0,0,0,0.0,0.03026647925497112
550,UNC93A,inflammatory_up,1.261971590117234,1.2891175967377508,0.512803986955582,0.7491676031616521,0.017155906492357844,0.0,0,0,0,0.0,0.030252643605458963
551,CARD17,inflammatory_up,1.2377787171194845,0.8057860633752453,0.1212520941025769,1.1165266230169075,0.0,0.0,0,0,0,0.0,0.03022472290238344
552,DLGAP5,inflammatory_up,1.240281172749778,1.4774290465252018,0.788056943749734,0.452224229000044,0.03379717570915535,0.0,0,0,0,0.0,0.030197348624328553
553,COL12A1,silenced_down,-1.0074918822632308,-0.0051343549957971,0.4237048956916203,-1.4311967779548511,0.0,0.0,0,0,0,0.0,0.03005028607487741
554,DPYSL3,silenced_down,-1.228965156768104,-1.488905762375735,-0.2124728277656382,-1.0164923290024657,0.005296294890969451,0.0,0,0,0,0.0,0.030035866988253362
555,OGN,silenced_down,-1.3600178480467566,-1.9444986294978328,-1.330934554269128,-0.0290832937776286,0.04624305086642253,0.0,0,0,0,0.0,0.02994013199594276
556,ALDH3A2,silenced_down,-1.273839613588307,-1.33740560166002,-0.9159737152036308,-0.3578658983846763,0.035426289308688054,0.0,0,0,0,0.0,0.029874023510058082
557,CGNL1,silenced_down,-1.449091084270644,-2.089393276505546,-0.9484662454103684,-0.5006248388602756,0.014972157518183258,0.0,0,0,0,0.0,0.029654330267373966
558,CDK5R1,inflammatory_up,1.3607115562445682,1.565150802884952,0.9074974824818351,0.453214073762733,0.023680368847177738,0.0,0,0,0,0.0,0.029623842370237706
559,FAM189A2,silenced_down,-1.561070725366981,-2.166442616256118,-0.9281024685526678,-0.6329682568143133,0.0,0.0,0,0,0,0.0,0.029597387188116157
560,KRT28,silenced_down,-1.1509391155586497,-0.7609596862662868,-0.0566205110329689,-1.0943186045256807,0.005668122421484477,0.0,0,0,0,0.0,0.029527435842299228
561,TESC,silenced_down,-1.0792846864538232,-0.2355019993616471,0.223576663378104,-1.3028613498319273,0.0,0.0,0,0,0,0.0,0.029473802359111404
562,TMEM40,inflammatory_up,1.16065310929669,1.0575303156918237,0.356575787084175,0.8040773222125148,0.019598143414479463,0.0,0,0,0,0.0,0.029427276844786687
563,SLC22A17,silenced_down,-1.2428965105552872,-1.1723175903923269,-0.4153363412707369,-0.8275601692845502,0.012196135204595157,0.0,0,0,0,0.0,0.029310720379913655
564,ELOVL7,inflammatory_up,1.0657436827116027,0.6306657734379781,0.0147860646419051,1.0509576180696976,0.013413457440381275,0.0,0,0,0,0.0,0.029282618497577503
565,APOL6,inflammatory_up,1.527559903505321,2.5101820055955004,1.593337385367903,-0.065777481862582,0.030623872670502632,0.0,0,0,0,0.0,0.02925024687762312
566,WISP2,silenced_down,-1.7669383909680594,-2.0507610215914447,-1.4410985690588292,-0.3258398219092302,0.0,0.0,0,0,0,0.0,0.02921448652810239
567,TEX101,inflammatory_up,1.2278430035033263,1.4460855280083809,0.9035870030742246,0.3242560004291019,0.03842118251665157,0.0,0,0,0,0.0,0.029045860857218136
568,CDK1,inflammatory_up,1.1856923713619796,1.3300126831076344,0.6960576858069238,0.4896346855550557,0.03291544161570221,0.0,0,0,0,0.0,0.029021237027561052
569,SCARA5,silenced_down,-1.812731226889196,-3.3386685898968502,-1.8051162591988588,-0.0076149676903369,0.012495183404328687,0.0,0,0,0,0.0,0.029002231782589483
570,SDC2,silenced_down,-1.3017840657286226,-1.6144643316915994,-0.5320905026896181,-0.7696935630390045,0.010103298979313035,0.0,0,0,0,0.0,0.0289747868111727
571,MFSD4,silenced_down,-1.3344642138334444,-1.582670686223821,-0.4135600291142927,-0.9209041847191516,0.0,0.0,0,0,0,0.0,0.028972859850246262
572,PRSS3,inflammatory_up,1.477438470978692,1.8754648154980875,1.2553175974864588,0.222120873492233,0.02541898529033951,0.0,0,0,0,0.0,0.02892630308743386
573,PMP22,silenced_down,-1.0634334932039264,-1.6858953048661125,0.1900151435207915,-1.253448636724718,0.0022174791281082107,0.0,0,0,0,0.0,0.028881694252408305
574,IFI44L,inflammatory_up,1.4125165116873482,2.4157964682824464,1.2006356944408836,0.2118808172464645,0.030404023579526148,0.0,0,0,0,0.0,0.02884209968839449
575,MATN2,silenced_down,-1.3129497136260713,-1.0905949699836013,-0.5855231692837597,-0.7274265443423116,0.010993368140712329,0.0,0,0,0,0.0,0.028782062309075724
576,DCLK1,silenced_down,-1.1954048576489211,-1.3186613576207624,-0.2866228918606799,-0.9087819657882412,0.010058937688334057,0.0,0,0,0,0.0,0.028745302271366253
577,PRODH,silenced_down,-1.0690955953330117,-1.378975782929348,-0.0062808733455366,-1.062814721987475,0.011238072863246669,0.0,0,0,0,0.0,0.028742447114818537
578,KLK1,silenced_down,-1.532814654928575,-2.0913836187509327,-1.117880137690347,-0.4149345172382279,0.01103977197988454,0.0,0,0,0,0.0,0.02871581253290166
579,TMEM116,silenced_down,-1.3282741153612236,-1.6572036089592,-0.7046830001239237,-0.6235911152372999,0.014915187988261299,0.0,0,0,0,0.0,0.02866076610533405
580,LTB4R,inflammatory_up,1.3226744866653863,1.1964299939344103,0.8269005170455532,0.4957739696198331,0.02186599126305703,0.0,0,0,0,0.0,0.028659895054247722
581,SPDEF,silenced_down,-1.1743093935481252,-0.4478788310739095,-0.0441670556523963,-1.130142337895729,0.0,0.0,0,0,0,0.0,0.028651207999540757
582,EEF2K,silenced_down,-1.3344005177499687,-1.695004179291744,-0.7218771938566517,-0.612523323893317,0.014990569550294486,0.0,0,0,0,0.0,0.028639834798773637
583,RTP4,inflammatory_up,1.524757442240967,1.971425735480272,1.68754126885208,-0.1627838266111128,0.024309560298247695,0.0,0,0,0,0.0,0.0286214817221562
584,PLAC9,silenced_down,-1.4128802692512386,-1.5922921928905938,-0.6744719156652068,-0.7384083535860317,0.0023125233541640908,0.0,0,0,0,0.0,0.028401680415795445
585,FLVCR2,inflammatory_up,1.2338370139390122,1.3469051879050915,0.648317449153474,0.5855195647855382,0.022747576813225555,0.0,0,0,0,0.0,0.02829127157589613
586,PLA2G2A,inflammatory_up,1.037618489993692,0.2167933895781629,1.0292412048564024,0.0083772851372896,0.06637908170397537,0.0,0,0,0,0.0,0.02827024220738729
587,BHLHE41,silenced_down,-1.117947473918712,-1.269332892738027,-0.3005719866636078,-0.8173754872551042,0.018922852507759786,0.0,0,0,0,0.0,0.028179909621176426
588,IL11RA,silenced_down,-1.10046206450247,-1.473915510875449,0.0091345492214207,-1.1095966137238906,0.005142282317334118,0.0,0,0,0,0.0,0.028154772215397708
589,KRT81,silenced_down,-1.171127923148959,-0.4194771008555036,-0.0611385176136013,-1.109989405535358,0.0,0.0,0,0,0,0.0,0.02813760584031893
590,MYEOV,silenced_down,-1.4435514357841257,-1.8501072475828808,-1.078687329898775,-0.3648641058853508,0.018478064462664243,0.0,0,0,0,0.0,0.028086942000724688
591,SMOX,inflammatory_up,1.4981788566223813,1.5853428254778392,1.188396462040417,0.3097823945819642,0.017216236602884964,0.0,0,0,0,0.0,0.02802276119094331
592,PNPLA5,silenced_down,-1.458103513980755,-2.132962078329546,-1.1762861388355037,-0.2818173751452513,0.021221275255995577,0.0,0,0,0,0.0,0.027896943778750453
593,PLA2G16,silenced_down,-1.0332599941033132,-0.5300338777174707,0.2553933781459163,-1.2886533722492295,0.0,0.0,0,0,0,0.0,0.027830315811863078
594,MGST1,silenced_down,-1.5232881684025674,-1.1975436902070862,-1.142431865218263,-0.3808563031843044,0.011259442115039951,0.0,0,0,0,0.0,0.027815392220532975
595,ZSCAN18,silenced_down,-1.399170404097146,-2.74472820911273,-1.7078180654075217,0.3086476613103757,0.023811655233223747,0.0,0,0,0,0.0,0.02778654276914356
596,EPN3,inflammatory_up,1.2694367023953466,1.2228855152093594,0.400552639843359,0.8688840625519876,0.0043788917467789444,0.0,0,0,0,0.0,0.02776705060793704
