gene,log2FC,mean_case,mean_ctrl,t,p,padj,log2FC_GSE121212,replicated,log2FC_AD,axis,psoriasis_specificity
FLVCR2,1.2338370139390122,3.0223007686540946,1.7884637547150823,31.93465043444853,1.4827131293080623e-70,2.4764641199061064e-68,1.3469051879050915,True,0.648317449153474,inflammatory_up,0.5855195647855382
C5orf46,-3.441587847519615,3.09763679086864,6.539224638388255,-30.966545950646218,2.661210368543615e-70,4.395432458711205e-68,-3.370819005967487,True,-3.437511400222918,silenced_down,-0.004076447296696983
GLTP,1.3148133914122955,8.469522532596194,7.154709141183899,30.023632849468825,2.7777459606670147e-70,4.537493813770898e-68,1.1207390527093875,True,0.21969369300503416,inflammatory_up,1.0951196984072613
PTPN21,-1.306673777462044,2.552968630094563,3.859642407556607,-29.997712277803686,3.40037951832745e-70,5.494200167384515e-68,-2.0375618539249087,True,-1.0451054081132893,silenced_down,-0.2615683693487547
WNT5A,1.758137088065987,3.1803027713175482,1.4221656832515612,32.82036026032408,3.753364980406453e-70,5.999330154165798e-68,2.4951606813679565,True,1.7445796856857005,inflammatory_up,0.013557402380286465
KLK13,3.5266901424418884,6.799016346067533,3.2723262036256444,35.511337378528275,4.561869002125006e-70,7.2140619911264066e-68,3.237938902719602,True,0.7372960097120198,inflammatory_up,2.7893941327298686
RGMB,-1.2588944079599225,2.743409300247788,4.002303708207711,-29.76194734303764,1.0456978258782133e-69,1.6362419138610148e-67,-1.731168494977231,True,-1.1152924130297954,silenced_down,-0.14360199493012704
TMEM43,-1.0149761066963716,5.214824450580326,6.229800557276698,-29.505528274002543,4.1475353726731934e-69,6.422199303623648e-67,-1.1997362785703727,True,-0.6048276049152079,silenced_down,-0.4101485017811637
TCN1,5.690068217530276,6.041155154051334,0.3510869365210588,40.867980361592814,4.383214678392476e-69,6.717163525185996e-67,6.63615001732021,True,2.991055641420403,inflammatory_up,2.699012576109873
KCNJ15,1.5823724765568168,2.6611453259745144,1.0787728494176976,29.343487310400377,7.371850282931012e-69,1.1181893311813213e-66,1.8421718469792725,True,1.03120616569162,inflammatory_up,0.5511663108651967
GALNT6,1.6719932490565612,3.8759211368149793,2.203927887758418,29.473477791543083,1.4722168778880984e-68,2.2105559484653114e-66,2.110002181356707,True,1.9627768350682073,inflammatory_up,-0.2907835860116461
PNP,1.7992408751405558,5.335189198673726,3.5359483235331703,29.321000288313492,1.8445557960936798e-68,2.741932190893255e-66,2.044665870527424,True,1.5862739041282885,inflammatory_up,0.21296697101226725
ARSF,2.7261960416637434,3.9945677208646186,1.2683716792008752,32.68232365267191,2.46553117065703e-68,3.62872483681354e-66,2.8615068265228554,True,0.9631897580386655,inflammatory_up,1.763006283625078
TAP2,1.1322022072730573,4.599042414884576,3.466840207611519,29.264471087954245,2.8901745441958262e-68,4.2120043724971527e-66,1.0815399016504657,True,1.0463499977952075,inflammatory_up,0.08585220947784977
ZSCAN18,-1.399170404097146,1.1777036183552794,2.5768740224524254,-29.763710835092017,3.787430070519873e-68,5.466033786240574e-66,-2.74472820911273,True,-1.7078180654075217,silenced_down,0.3086476613103757
CXCR2,1.8713026464590468,3.2069136875296036,1.3356110410705568,30.637143531894615,1.4281728384531485e-67,2.0413258888082743e-65,1.9863324300215548,True,0.10166707943315156,inflammatory_up,1.7696355670258952
IL4R,1.386616767812964,5.04282097068561,3.656204202872646,29.618320916382665,2.2450515205278958e-67,3.1783515097759212e-65,2.1492774822770615,True,1.813206267902392,inflammatory_up,-0.426589500089428
SDC4,-1.298322675095811,5.4595438588102745,6.7578665339060855,-29.540961061897324,2.868590552139346e-67,3.98519612687396e-65,-1.156182363237101,True,-0.3286724736979467,silenced_down,-0.9696502013978643
FOXM1,1.227672420286909,3.3297381277912037,2.102065707504295,28.616744589493486,5.362089175094132e-67,7.380319961830951e-65,1.1690887406533954,True,0.899449369724282,inflammatory_up,0.3282230505626269
CLEC7A,1.8291644059274221,3.4595945625169695,1.6304301565895474,28.540311243050596,6.150778921312363e-67,8.311938969573479e-65,3.305859031717281,True,2.5039103147890724,inflammatory_up,-0.6747459088616503
UBE2F,1.0458872796841439,5.055923702273784,4.01003642258964,30.085340643824097,7.445170027811652e-67,9.970491212920738e-65,1.1860942840747781,True,0.5492196594253396,inflammatory_up,0.4966676202588043
