gene,log2FC,mean_case,mean_ctrl,t,p,padj
EFNA4,-0.5243713826430043,2.3847907034993496,2.909162086142354,-13.163834074670055,1.4562120528638535e-27,9.195663621844173e-27
ANGPTL5,-1.0767791353927272,1.289935151664708,2.366714287057435,-13.099259244383886,1.460355533497713e-27,9.217912953479194e-27
FAM25A,1.1045018650655845,8.722256758710872,7.617754893645287,13.102427994350881,1.4779095624694526e-27,9.324756216514606e-27
MTMR3,-0.38151237384691816,3.248752090328021,3.6302644641749393,-13.312880885595654,1.4946138202388818e-27,9.426149528150607e-27
CASC5,0.55287145028755,0.9731812096243732,0.4203097593368232,13.806732302123152,1.5070901792704107e-27,9.500803865502399e-27
LOC729678,-0.49216045126206653,3.2140979593311947,3.706258410593261,-13.063775034465001,1.6156948814208386e-27,1.0181137945027879e-26
FAM168B,-0.32194814159604856,4.681184961086603,5.003133102682652,-13.777889593475935,1.661857931471432e-27,1.04675924370012e-26
PEBP4,-0.9579661108763348,0.39494300144658234,1.352909112322917,-14.553741120185514,1.6986371466653623e-27,1.0694723077162478e-26
PDGFA,-0.6914893636873205,2.425957872426494,3.1174472361138146,-13.048153988418225,1.7153257275590563e-27,1.07952230906712e-26
LAG3,0.6616942325049298,1.1649849319978802,0.5032906994929505,13.986470174252267,1.7494182970497378e-27,1.1005121872892237e-26
MOSC1,-0.9681424970136295,0.8631762647029256,1.8313187617165552,-13.689076431067374,1.774278576233765e-27,1.11567897782212e-26
AFF2,-0.524766046613151,0.3326504644256503,0.8574165110388013,-13.47195933326767,1.7776995205294782e-27,1.1173574364765621e-26
CA6,-1.991817093105746,3.26906941599136,5.260886509097106,-13.042054421682087,1.7848205295659776e-27,1.1213591366017861e-26
ZFP64,-0.3923860142703588,2.0925475956575155,2.4849336099278743,-13.04218227083517,1.7971459481269455e-27,1.1286258774358701e-26
DLC1,-0.7624862678377289,1.9441924390506813,2.70667870688841,-13.060280229567347,1.8211136534189434e-27,1.1431948673172549e-26
CLIP3,-0.8008750269044511,2.0731541891594225,2.8740292160638736,-13.146952840077002,1.842681936055913e-27,1.1562459678966292e-26
NTRK3,-0.5522894152465673,0.5197904764374518,1.072079891684019,-13.436838497390998,1.861454468041765e-27,1.1675325176135374e-26
SIRT3,-0.41856863539291833,2.4674733901897365,2.886042025582655,-13.28855410285868,1.8720555479364646e-27,1.1736864496025114e-26
EPDR1,-0.7475338372498181,1.470246726048126,2.217780563297944,-13.043059809945346,1.896368479173014e-27,1.1884282227195131e-26
PLA2R1,-1.0969329093235065,2.450682598936848,3.5476155082603547,-13.253123433028716,1.9177715958093422e-27,1.2013347986391013e-26
KCNJ2,0.6891245795924219,2.191307748854608,1.5021831692621863,13.076568548843788,1.9531166743521274e-27,1.2229603776008582e-26
C9orf103,-0.48887196910869646,1.6234217838832858,2.1122937529919823,-13.07592217931895,1.993012061091523e-27,1.2474157595000205e-26
MRTO4,0.4290480832289898,4.120333797777616,3.691285714548626,13.024588852277073,2.0291908159003066e-27,1.2695253147457094e-26
TMEM203,-0.3357365585382972,4.2565423354436795,4.592278893981977,-13.026040325210651,2.0400794620035448e-27,1.2752641380438476e-26
EFEMP2,-1.0095141235039944,3.9987941859031175,5.008308309407112,-13.268847340628255,2.039944827703416e-27,1.2752641380438476e-26
SLC27A3,-0.6035800056375709,3.4011301171508266,4.004710122788397,-13.286176658696087,2.0814994734367536e-27,1.3006090656846296e-26
ZNF14,-0.6282822425898695,1.0534036088584111,1.6816858514482806,-13.078233108384277,2.158668802929886e-27,1.3482609981324686e-26
TLN1,-0.6487156299326138,5.208175375872523,5.856891005805137,-13.10754712098944,2.1603084527756435e-27,1.3487184019533784e-26
FAM83D,0.8008817185077,3.1267276049931687,2.3258458864854687,13.028017890147444,2.1667392543060868e-27,1.352165365879932e-26
FAM84B,-0.6100999940408891,2.6143063818817525,3.2244063759226416,-13.021855202886261,2.1769860977333764e-27,1.3579898591190365e-26
MAP4K4,0.49168977826390226,4.73946504732214,4.247775269058238,13.026835775065027,2.1913003481461697e-27,1.36634562395943e-26
ARFGAP3,-0.6340608212434278,3.242708959352465,3.8767697805958927,-13.064137590053262,2.2351199134480967e-27,1.3930841724698514e-26
WDR66,1.0250213514641453,1.8483880135637876,0.8233666620996423,13.86291567152062,2.2469925664009825e-27,1.399897087156354e-26
MTHFD2,0.5279117681548815,3.703824708413847,3.1759129402589656,13.15426527866319,2.263435093782063e-27,1.409550174657326e-26
POLB,0.907824799192483,4.077778035362527,3.1699532361700435,13.365791323327697,2.2803245401586056e-27,1.419473378955514e-26
RALGPS1,-0.5346685418348618,1.1544688340430047,1.6891373758778665,-13.290946951370666,2.2845875863397232e-27,1.42153179032817e-26
ELMO2,-0.5277844966982963,3.0611888551819537,3.58897335188025,-13.023316304149954,2.3187432518607084e-27,1.442180687820478e-26
SPRYD4,0.5046905276455447,2.9803911422009257,2.475700614555381,13.052801225431324,2.3245268872589885e-27,1.445173240447715e-26
