gene,meta_log2FC,meta_SE,meta_p,I2,n_cohorts,meta_padj,n_concordant
MACROD1,-0.6337757012095692,0.10920039141733401,6.4834022595050556e-09,95.07056993078929,5,2.779087162754473e-08,5
CYFIP2,0.18523650240594453,0.03193379178718229,6.606139857368021e-09,0.0,5,2.8306368384344532e-08,5
PPP2R5B,0.28808222808809647,0.04966584886428538,6.615343606242163e-09,80.07702513525577,5,2.8335184753301017e-08,5
TMEM208,0.5178720898503227,0.0893023325202334,6.667651542002773e-09,93.29029047964255,5,2.8548536489953444e-08,5
PUS7,0.31795208245102047,0.05483027064888013,6.677436381608004e-09,75.53534164082943,5,2.8579727710424073e-08,5
ANKHD1,-0.35648327018320314,0.061477154473372764,6.685887621316056e-09,67.25598853418417,5,2.860518985287618e-08,5
TPM2,-1.0976426936400288,0.18934289572506513,6.7465106834418975e-09,92.68293950657275,5,2.8853763611338485e-08,5
NDRG4,1.179289845967988,0.20344623283701574,6.768589910777223e-09,96.2959292240425,5,2.8937367187735682e-08,5
MRPL34,0.25811395249744185,0.044529940644386416,6.774807159715124e-09,43.34751121856173,5,2.8944816839313287e-08,4
SLC35B1,0.5664816377754471,0.0977299248763035,6.77539624405199e-09,96.89408950468412,5,2.8944816839313287e-08,5
CPOX,0.1918628575515607,0.03310327357189708,6.7960712613057694e-09,0.0,5,2.9022296099830987e-08,5
AHNAK2,-1.1192496543628219,0.19314670721719682,6.839607324948815e-09,98.38069456018457,5,2.9186409458310885e-08,5
FBXL2,-0.3571536141041394,0.061632679046816796,6.8372463246646475e-09,80.83120878516948,5,2.9186409458310885e-08,5
SLC16A2,-0.5367481842415044,0.09263697867216525,6.868734914178276e-09,91.6284715328471,5,2.9299767738390317e-08,5
ROR1,-0.6141399275791565,0.10600241660714368,6.887668213551024e-09,95.23419630730015,5,2.9369572181020255e-08,5
CORO1A,0.6713120721397775,0.11587405992218543,6.894970372428588e-09,86.6767338495247,5,2.938974694168666e-08,5
TMEM132C,-1.2492260937989668,0.21566380930986914,6.935881646796815e-09,98.00558846584683,5,2.955311180998181e-08,5
RASAL1,0.6536292193640799,0.11285567167106168,6.966639709560241e-09,91.76058308530166,5,2.9673109224922752e-08,5
DTX4,-0.7705378461122576,0.13308253945311327,7.041810023977746e-09,93.47881508260666,5,2.9982112549018096e-08,5
FLOT1,-0.33832414076279266,0.058437295024330434,7.058603701537436e-09,70.14668098729156,5,3.00424264765361e-08,4
RNF130,-0.45642414732870806,0.07886444059728272,7.146219171971779e-09,91.42841196800198,5,3.040401100631983e-08,5
NAGPA,0.2933195335358284,0.050695045255299595,7.20991200076071e-09,76.69076612961412,5,3.066358407466385e-08,5
CCL20,2.921269387973048,0.5048990034634586,7.214700614710523e-09,97.84064727790998,5,3.0664271389748916e-08,4
SF3B5,0.36588135092882934,0.06323746752309553,7.215438246888084e-09,81.81889191693331,5,3.0664271389748916e-08,5
LIG4,0.4721509134629064,0.0816074886391352,7.224012499307264e-09,87.82267861807543,5,3.06893017064588e-08,5
PCF11,-0.37512209412000563,0.06484166046850892,7.242531019358012e-09,83.26317704497745,5,3.0756543318462404e-08,5
STX6,0.7079320107045486,0.12238761616601128,7.279606251131554e-09,98.6356360497481,5,3.090250971516373e-08,5
IKZF5,-0.36067596784383443,0.062356608996656855,7.290778647472962e-09,82.08284679667732,5,3.093844895987784e-08,5
PSMD9,0.30594046992664514,0.05292494213332791,7.441336657976194e-09,85.82120389727977,5,3.1565625481997715e-08,5
ZNF451,-0.4831508963405768,0.08358404763319645,7.451438799321863e-09,91.08695602468715,5,3.15967538404479e-08,5
TOP1,0.6357991739808428,0.11014579834066535,7.817742231353009e-09,94.53576718572997,5,3.313771938777442e-08,4
RHOBTB1,-0.5394226300073006,0.09345917802792705,7.845435190390049e-09,87.39259600640969,5,3.3242778019473325e-08,4
MMS19,-0.18304311866438264,0.0317143586559071,7.85146037074469e-09,58.620867465266315,5,3.32559818296974e-08,4
DNAJB2,-0.5848118606817904,0.10134366587367646,7.899855214432705e-09,94.8620035429362,5,3.34485721523684e-08,4
