name,smiles,vina,aryl,core,linker,warhead,MW,QED,sim_parent
gen_CN-phe_7-deaz_azet_cyclo,N#Cc1ccc(C2=c3cc[nH]c3=NCC3CN(C(=O)C4=CCC4)C3=N2)cc1,-6.83,CN-phenyl,7-deazapurine,azetidine,cyclobutenylamide,355.4,0.879,0.244
gen_SF5-ph_thieno_azet_cyclo,O=C(C1=CCC1)N1CC2CN=c3sccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-6.829,SF5-phenyl,thienopyrimidine,azetidine,cyclobutenylamide,473.5,0.593,0.258
gen_OCF3-p_7-deaz_azet_propi,C#CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,-6.823,OCF3-phenyl,7-deazapurine,azetidine,propiolamide,386.3,0.788,0.302
gen_CN-phe_thieno_azet_acryl,C=CC(=O)N1CC2CN=c3sccc3=C(c3ccc(C#N)cc3)N=C21,-6.818,CN-phenyl,thienopyrimidine,azetidine,acrylamide,346.4,0.773,0.253
gen_pyridy_thieno_pyrr_cyclo,O=C(C1=CCC1)N1CCC2CN=c3sccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-6.816,pyridyl-CF3,thienopyrimidine,pyrrolidine,cyclobutenylamide,430.5,0.736,0.24
gen_OCF3-p_7-deaz_pyrr_propi,C#CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,-6.815,OCF3-phenyl,7-deazapurine,pyrrolidine,propiolamide,400.4,0.778,0.297
gen_CF3-ph_7-deaz_azet_fluor,C=C(F)C(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,-6.802,CF3-phenyl,7-deazapurine,azetidine,fluoroacrylamide,390.3,0.62,0.211
gen_OCHF2-_7-deaz_pyrr_cyclo,O=C(C1=CCC1)N1CCC2CN=c3[nH]ccc3=C(c3ccc(OC(F)F)cc3)N=C21,-6.802,OCHF2-phenyl,7-deazapurine,pyrrolidine,cyclobutenylamide,410.4,0.841,0.272
gen_pyridy_7-deaz_pyrr_acety,CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-6.802,pyridyl-CF3,7-deazapurine,pyrrolidine,acetyl,375.4,0.82,0.194
"gen_Cl,F-p_7-deaz_azet_acryl",C=CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(F)c(Cl)c3)N=C21,-6.784,"Cl,F-phenyl",7-deazapurine,azetidine,acrylamide,356.8,0.817,0.244
gen_SF5-ph_thieno_pyrr_acryl,C=CC(=O)N1CCC2CN=c3sccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-6.753,SF5-phenyl,thienopyrimidine,pyrrolidine,acrylamide,461.5,0.486,0.25
gen_OCF3-p_7-deaz_pyrr_acryl,C=CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,-6.751,OCF3-phenyl,7-deazapurine,pyrrolidine,acrylamide,402.4,0.8,0.388
gen_SF5-ph_9Me-pu_azet_cyclo,Cn1cnc2c1=NCC1CN(C(=O)C3=CCC3)C1=NC=2c1ccc(S(F)(F)(F)(F)F)cc1,-6.75,SF5-phenyl,9Me-purine,azetidine,cyclobutenylamide,471.5,0.644,0.341
gen_biphen_7-deaz_pyrr_acety,CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-6.748,biphenyl,7-deazapurine,pyrrolidine,acetyl,382.5,0.728,0.185
gen_pyridy_7-deaz_pyrr_cyclo,O=C(C1CC1)N1CCC2CN=c3[nH]ccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-6.747,pyridyl-CF3,7-deazapurine,pyrrolidine,cyclopropanecarbonyl,401.4,0.835,0.18
"gen_Cl,F-p_thieno_pipe_acety",CC(=O)N1CCC2CCN=c3sccc3=C(c3ccc(F)c(Cl)c3)N=C21,-6.742,"Cl,F-phenyl",thienopyrimidine,piperidine,acetyl,389.9,0.739,0.184
gen_OCHF2-_7-deaz_pyrr_propi,C#CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(OC(F)F)cc3)N=C21,-6.732,OCHF2-phenyl,7-deazapurine,pyrrolidine,propiolamide,382.4,0.813,0.204
